target,pos,score_externe,commentaire
voix,NOM,3,"son vocal / opinion / influence"
pied,NOM,3,"partie du corps / unité de mesure / emplois figés"
cour,NOM,3,"espace extérieur / cour royale / faire la cour"
porte,NOM,3,"objet concret / accès / forme verbale de porter"
feu,NOM,4,"élément ou flamme / incendie / lumière / arme ou tir"
entendre,VERBE,2,"percevoir par l'ouïe / comprendre"
passer,VERBE,4,"traverser / temps qui s'écoule / séjourner / être accepté"
campagne,NOM,2,"espace rural / campagne militaire ou politique"
baron,NOM,1,"noble ou personne appelée ainsi"
