target,n_occurrences,cosine_mean,cosine_std,cosine_min,cosine_max,pos,score_externe,commentaire,rang_bert,rang_externe
voix,100,0.7583422413795525,0.1409443427846863,0.10754562967588192,0.968884805901351,NOM,3,son vocal / opinion / influence,1,3
pied,100,0.6880263881196137,0.12547618319520784,0.13781043114226194,0.9599730417566569,NOM,3,partie du corps / unité de mesure / emplois figés,2,3
cour,100,0.7860821783344595,0.12384861419266543,0.20126256796130274,0.9805748032036582,NOM,3,espace extérieur / cour royale / faire la cour,3,3
porte,100,0.7986697708849291,0.11597195633056695,0.2702263168809904,0.9740971068855232,NOM,3,objet concret / accès / forme verbale de porter,4,3
feu,100,0.8044600817024087,0.11448421125661981,0.19348153754147351,0.9734628156129183,NOM,4,élément ou flamme / incendie / lumière / arme ou tir,5,1
entendre,100,0.7652363499232088,0.11088034207430034,0.2902505784001726,0.9680456051779042,VERBE,2,percevoir par l'ouïe / comprendre,6,7
passer,100,0.7497656287864378,0.09183288119631186,0.33369700592641527,0.9600390997306463,VERBE,4,traverser / temps qui s'écoule / séjourner / être accepté,7,1
campagne,100,0.8207930202539959,0.08819372759306349,0.3977987283124132,0.9721448187882642,NOM,2,espace rural / campagne militaire ou politique,8,7
baron,100,0.9195379685604561,0.04025028814501923,0.6631790105170006,0.9846975393961321,NOM,1,noble ou personne appelée ainsi,9,9
